id,lastnik,cena,vrsta,lokacija
49,Emma Wilson,9428592,zemljisce,Novo Mesto
50,Emma Wilson,4727846,stanovanje,Trbovlje
51,John Smith,788646,hisa,Maribor
52,John Smith,1721681,stanovanje,Celje
53,Daniel Brown,7762137,stanovanje,Kamnik
54,Daniel Brown,8616159,zemljisce,Kamnik
55,Michael Davis,619214,hisa,Kranj
56,Daniel Brown,7034884,zemljisce,Ljubljana
57,John Smith,2664412,hisa,Novo Mesto
58,Emma Wilson,1579810,zemljisce,Ljubljana
59,John Smith,582911,stanovanje,Ljubljana
60,Emily Johnson,1254303,stanovanje,Trbovlje
61,Emily Johnson,6877414,hisa,Novo Mesto
62,Emily Johnson,6472075,hisa,Velenje
63,Emily Johnson,9151666,stanovanje,Ljubljana
64,Emma Wilson,5758834,hisa,Kranj
65,John Smith,7821150,stanovanje,Ptuj
66,John Smith,5866507,stanovanje,Celje
67,Michael Davis,1937254,stanovanje,Koper
68,Daniel Brown,1653679,hisa,Ptuj
69,Emily Johnson,2725951,hisa,Trbovlje
70,Daniel Brown,8136500,hisa,Maribor
71,Emma Wilson,4736263,hisa,Kamnik
72,John Smith,2216624,hisa,Kamnik
73,Emily Johnson,9307927,stanovanje,Maribor
74,John Smith,1001643,zemljisce,Trbovlje
75,Michael Davis,7842679,stanovanje,Ptuj
76,Emma Wilson,1348603,hisa,Novo Mesto
77,Michael Davis,1094782,hisa,Kamnik
78,Emily Johnson,2981404,zemljisce,Novo Mesto
79,Daniel Brown,5819310,stanovanje,Novo Mesto
80,John Smith,9224072,hisa,Kranj
81,Michael Davis,5180262,zemljisce,Kranj
82,Michael Davis,7598873,stanovanje,Trbovlje
83,John Smith,3700449,stanovanje,Ptuj
84,Michael Davis,3608725,zemljisce,Koper
85,Daniel Brown,6275471,zemljisce,Ljubljana
86,John Smith,8033259,stanovanje,Maribor
87,Daniel Brown,5337413,stanovanje,Celje
88,Michael Davis,2751862,hisa,Maribor
89,John Smith,1373063,hisa,Trbovlje
90,Emily Johnson,7810982,stanovanje,Maribor
91,Michael Davis,5647948,zemljisce,Maribor
92,Daniel Brown,5004877,zemljisce,Trbovlje
93,Michael Davis,1689800,zemljisce,Kamnik
94,Emily Johnson,4106831,zemljisce,Novo Mesto
95,Emma Wilson,9529128,stanovanje,Ptuj
96,John Smith,1348593,zemljisce,Ljubljana
97,Daniel Brown,5770310,zemljisce,Kranj
98,Michael Davis,2761133,stanovanje,Velenje
99,Michael Davis,399016,hisa,Koper
100,Michael Davis,8389810,hisa,Novo Mesto
101,Michael Davis,2689170,hisa,Ptuj
102,John Smith,1452496,stanovanje,Velenje
103,Emily Johnson,7934660,zemljisce,Ptuj
104,Michael Davis,2659226,stanovanje,Celje
105,Emily Johnson,3783801,stanovanje,Celje
106,John Smith,547292,hisa,Trbovlje
107,Emma Wilson,3324894,zemljisce,Maribor
108,Michael Davis,9866863,hisa,Novo Mesto
109,Michael Davis,2825387,hisa,Ptuj
110,Emily Johnson,7059660,hisa,Novo Mesto
111,Daniel Brown,7682115,hisa,Maribor
112,Emma Wilson,7861047,zemljisce,Maribor
113,John Smith,7358195,zemljisce,Trbovlje
114,Michael Davis,7274097,zemljisce,Kranj
115,Emma Wilson,1413651,hisa,Kamnik
116,John Smith,6047762,zemljisce,Novo Mesto
117,John Smith,4971234,zemljisce,Celje
118,Daniel Brown,2835217,hisa,Koper
119,Michael Davis,1081936,hisa,Maribor
120,John Smith,9762697,stanovanje,Ptuj
121,Emily Johnson,8548544,zemljisce,Celje
122,Michael Davis,4047437,hisa,Kranj
123,John Smith,2688052,stanovanje,Kamnik
124,Emily Johnson,7142238,stanovanje,Velenje
125,John Smith,2908310,hisa,Kamnik
126,Emily Johnson,3506126,zemljisce,Celje
127,John Smith,4564727,stanovanje,Kranj
128,Emily Johnson,1750537,zemljisce,Ptuj
129,John Smith,3923899,zemljisce,Kranj
130,Emily Johnson,780805,hisa,Novo Mesto
131,John Smith,2833840,hisa,Trbovlje
132,Daniel Brown,4445511,stanovanje,Trbovlje
133,Emma Wilson,9852681,stanovanje,Koper
134,John Smith,3892227,stanovanje,Maribor
135,Emma Wilson,3350952,stanovanje,Kranj
136,Emma Wilson,7807459,hisa,Maribor
137,Emma Wilson,1306765,zemljisce,Koper
138,John Smith,6342691,hisa,Trbovlje
139,Michael Davis,5253695,hisa,Maribor
140,Emily Johnson,7494590,stanovanje,Novo Mesto
141,Michael Davis,6292591,stanovanje,Ptuj
142,Emma Wilson,5519431,hisa,Novo Mesto
143,Emily Johnson,2824878,stanovanje,Celje
144,Emma Wilson,493943,hisa,Velenje
145,Emma Wilson,6925484,zemljisce,Novo Mesto
146,Michael Davis,5617509,hisa,Ljubljana
147,Emma Wilson,5281793,zemljisce,Kranj
148,Emily Johnson,6282871,hisa,Maribor
149,Emma Wilson,8067259,hisa,Trbovlje
150,Emma Wilson,2824769,hisa,Ptuj
151,Emma Wilson,8765174,hisa,Kamnik
152,Daniel Brown,5112353,hisa,Kranj
153,Emily Johnson,3761965,hisa,Novo Mesto
154,Michael Davis,1722771,hisa,Celje
155,Emma Wilson,6651616,hisa,Kranj
156,Emma Wilson,3463906,stanovanje,Kamnik
157,Emily Johnson,9601904,zemljisce,Koper
158,John Smith,9368204,zemljisce,Celje
159,Emily Johnson,8821468,stanovanje,Velenje
160,John Smith,8092561,hisa,Maribor
161,Daniel Brown,6414427,zemljisce,Koper
162,Emma Wilson,4483321,hisa,Ptuj
163,Daniel Brown,4980349,hisa,Maribor
164,Emma Wilson,7711178,hisa,Trbovlje
165,John Smith,8829459,stanovanje,Kranj
166,Michael Davis,8915940,hisa,Ljubljana
167,Michael Davis,2574189,hisa,Kranj
168,Emma Wilson,4577699,hisa,Trbovlje
169,Daniel Brown,3158406,stanovanje,Trbovlje
170,Daniel Brown,5281024,stanovanje,Koper
171,Emily Johnson,2559619,stanovanje,Celje
172,Emily Johnson,4143511,hisa,Kranj
173,Emma Wilson,9688031,zemljisce,Koper
174,Daniel Brown,3770882,stanovanje,Kranj
175,Daniel Brown,4471484,stanovanje,Kranj
176,Emily Johnson,8899717,zemljisce,Ptuj
177,John Smith,4214538,hisa,Koper
178,Emma Wilson,4930501,zemljisce,Ljubljana
179,Emma Wilson,9229965,zemljisce,Trbovlje
180,Emma Wilson,6236553,stanovanje,Velenje
181,John Smith,6435427,stanovanje,Celje
182,Daniel Brown,8184519,hisa,Trbovlje
183,Daniel Brown,7795359,hisa,Kranj
184,Emily Johnson,1462180,zemljisce,Koper
185,Emma Wilson,5166890,hisa,Velenje
186,Michael Davis,8672053,hisa,Celje
187,Emily Johnson,9597641,stanovanje,Celje
188,Daniel Brown,197254,zemljisce,Celje
189,John Smith,4716416,stanovanje,Maribor
190,Michael Davis,6234556,stanovanje,Ljubljana
191,Daniel Brown,229692,zemljisce,Kamnik
192,Emily Johnson,8060622,zemljisce,Ljubljana
193,John Smith,9048133,zemljisce,Velenje
194,Daniel Brown,7856288,zemljisce,Koper
195,Emma Wilson,3532718,zemljisce,Kamnik
196,Daniel Brown,5864890,stanovanje,Celje
197,Michael Davis,9853470,hisa,Maribor
198,John Smith,7786103,hisa,Ljubljana
199,Emma Wilson,1270121,hisa,Velenje
200,Daniel Brown,7570503,zemljisce,Kranj
201,Michael Davis,8267672,hisa,Ljubljana
202,Michael Davis,1442518,stanovanje,Ptuj
203,Emily Johnson,1217108,stanovanje,Kamnik
204,Daniel Brown,631280,stanovanje,Ljubljana
205,Michael Davis,2387674,stanovanje,Ljubljana
206,John Smith,5817154,stanovanje,Kranj
207,John Smith,7493878,stanovanje,Ptuj
208,Daniel Brown,895766,hisa,Ljubljana
209,Daniel Brown,2862611,hisa,Celje
210,John Smith,7953696,hisa,Kranj
211,Emma Wilson,143517,stanovanje,Maribor
212,Michael Davis,9889360,zemljisce,Celje
213,Emma Wilson,8310428,zemljisce,Celje
214,Michael Davis,5467536,hisa,Novo Mesto
215,Michael Davis,3674116,hisa,Kamnik
216,Emily Johnson,2382803,stanovanje,Trbovlje
217,John Smith,6096391,stanovanje,Celje
218,Emily Johnson,4219254,stanovanje,Velenje
219,Daniel Brown,4383791,zemljisce,Novo Mesto
220,John Smith,6666842,zemljisce,Maribor
221,John Smith,9760336,hisa,Maribor
222,Emma Wilson,645714,hisa,Ljubljana
223,Emily Johnson,417901,zemljisce,Maribor
224,Emma Wilson,9562720,zemljisce,Celje
225,John Smith,3565948,stanovanje,Novo Mesto
226,Emma Wilson,7873889,zemljisce,Kamnik
227,Daniel Brown,4961380,hisa,Velenje
228,Emily Johnson,6991509,zemljisce,Koper
229,Emily Johnson,328111,hisa,Maribor
230,John Smith,4032494,hisa,Maribor
231,John Smith,1950918,stanovanje,Velenje
232,Michael Davis,9281266,zemljisce,Trbovlje
233,Emma Wilson,1669538,zemljisce,Koper
234,John Smith,7042590,stanovanje,Trbovlje
235,Michael Davis,5484948,hisa,Novo Mesto
236,Michael Davis,6404707,stanovanje,Maribor
237,Emily Johnson,6285701,hisa,Ljubljana
238,John Smith,6888697,zemljisce,Celje
239,Daniel Brown,2906975,hisa,Maribor
240,John Smith,6397362,zemljisce,Kranj
241,Emma Wilson,4203976,stanovanje,Ptuj
242,John Smith,3777209,hisa,Kranj
243,Emma Wilson,9659047,stanovanje,Kranj
244,Daniel Brown,5057973,zemljisce,Koper
245,Daniel Brown,9568337,stanovanje,Celje
246,John Smith,4080040,stanovanje,Maribor
247,Daniel Brown,1103750,hisa,Novo Mesto
248,Daniel Brown,7441658,stanovanje,Maribor
249,John Smith,3432497,hisa,Velenje
250,Michael Davis,4536796,stanovanje,Maribor
251,Emma Wilson,2570449,hisa,Kranj
252,Michael Davis,7055744,hisa,Koper
253,Emma Wilson,6795888,zemljisce,Koper
254,Emma Wilson,5925377,zemljisce,Koper
255,Michael Davis,1521622,stanovanje,Kranj
256,Emma Wilson,7573322,hisa,Velenje
257,Emma Wilson,5369898,hisa,Velenje
258,John Smith,8785127,hisa,Koper
259,Emma Wilson,676400,zemljisce,Koper
260,Emma Wilson,9818237,hisa,Kamnik
261,John Smith,9106701,hisa,Kamnik
262,Emily Johnson,6875867,hisa,Ljubljana
263,Emma Wilson,5394235,zemljisce,Ptuj
264,Michael Davis,705549,hisa,Ljubljana
265,Daniel Brown,4256552,hisa,Novo Mesto
266,Michael Davis,9123370,stanovanje,Trbovlje
267,John Smith,1956614,stanovanje,Koper
268,Michael Davis,9489123,hisa,Ljubljana
269,Emma Wilson,2834608,zemljisce,Velenje
270,Michael Davis,3010727,hisa,Kamnik
271,Michael Davis,8760050,zemljisce,Kranj
272,Emily Johnson,2028868,zemljisce,Ljubljana
273,Emma Wilson,1346355,stanovanje,Ljubljana
274,Emma Wilson,1952547,zemljisce,Kamnik
275,Emily Johnson,1156179,hisa,Ptuj
276,John Smith,9961731,hisa,Ptuj
277,Emma Wilson,2259404,stanovanje,Kamnik
278,John Smith,1960635,hisa,Ptuj
279,Emily Johnson,1022658,hisa,Novo Mesto
280,John Smith,829514,stanovanje,Velenje
281,John Smith,706527,zemljisce,Trbovlje
282,Daniel Brown,9672175,zemljisce,Ptuj
283,Emily Johnson,8305495,stanovanje,Maribor
284,Daniel Brown,5070819,hisa,Velenje
285,John Smith,4763389,zemljisce,Velenje
286,Emma Wilson,5911825,stanovanje,Maribor
287,Michael Davis,3011596,stanovanje,Ptuj
288,Michael Davis,5584474,hisa,Maribor
289,John Smith,3207989,hisa,Kamnik
290,Michael Davis,1954916,zemljisce,Koper
291,Michael Davis,3671377,zemljisce,Trbovlje
292,Emma Wilson,1278269,zemljisce,Velenje
293,John Smith,7966904,zemljisce,Trbovlje
294,Michael Davis,8847461,stanovanje,Maribor
295,Emily Johnson,6794752,zemljisce,Celje
296,Emily Johnson,3065431,hisa,Maribor
297,Daniel Brown,310718,stanovanje,Novo Mesto
298,Emily Johnson,8442188,zemljisce,Koper
299,Emma Wilson,2392780,hisa,Ptuj
300,Emma Wilson,2510353,hisa,Maribor
301,John Smith,5930606,stanovanje,Ptuj
302,Emma Wilson,3709181,zemljisce,Celje
303,Emily Johnson,9100793,zemljisce,Kamnik
304,Emily Johnson,7741657,stanovanje,Kamnik
305,Michael Davis,5870489,stanovanje,Trbovlje
306,Daniel Brown,7572180,hisa,Ptuj
307,John Smith,4336870,zemljisce,Kranj
308,Daniel Brown,5955505,stanovanje,Novo Mesto
309,John Smith,469648,zemljisce,Kamnik
310,Daniel Brown,9105912,stanovanje,Kamnik
311,Emma Wilson,577347,hisa,Celje
312,John Smith,9739633,stanovanje,Velenje
313,John Smith,2969511,zemljisce,Kamnik
314,Daniel Brown,4808823,zemljisce,Novo Mesto
315,Emma Wilson,3741635,stanovanje,Trbovlje
316,John Smith,1219029,stanovanje,Trbovlje
317,Emily Johnson,9074449,stanovanje,Maribor
318,Emily Johnson,165556,hisa,Velenje
319,Emma Wilson,3855909,stanovanje,Novo Mesto
320,Emma Wilson,1919580,zemljisce,Novo Mesto
321,John Smith,5280712,hisa,Ptuj
322,Daniel Brown,5889995,stanovanje,Velenje
323,John Smith,8132280,zemljisce,Kamnik
324,Michael Davis,6680355,stanovanje,Maribor
325,Michael Davis,3561111,hisa,Velenje
326,John Smith,8024288,hisa,Ljubljana
327,Michael Davis,4102822,stanovanje,Ljubljana
328,John Smith,937924,zemljisce,Maribor
329,Emily Johnson,798455,hisa,Celje
330,Emma Wilson,5376007,hisa,Koper
331,John Smith,2901248,stanovanje,Trbovlje
332,Daniel Brown,6795126,stanovanje,Celje
333,Daniel Brown,2932476,zemljisce,Velenje
334,Emily Johnson,9176752,hisa,Celje
335,Emily Johnson,6330220,zemljisce,Kamnik
336,Emily Johnson,2183122,stanovanje,Ljubljana
337,Daniel Brown,3056915,zemljisce,Novo Mesto
338,Daniel Brown,3998836,stanovanje,Ljubljana
339,Emma Wilson,6980159,zemljisce,Koper
340,Daniel Brown,53274,hisa,Ptuj
341,Emma Wilson,7418087,hisa,Maribor
342,Emma Wilson,9586553,zemljisce,Kranj
343,Michael Davis,5413473,hisa,Kamnik
344,Michael Davis,9057841,zemljisce,Ljubljana
345,Daniel Brown,9603202,stanovanje,Maribor
346,Emma Wilson,4118516,hisa,Ljubljana
347,John Smith,9812073,hisa,Ljubljana
348,Daniel Brown,532055,hisa,Trbovlje
349,Emily Johnson,5420722,stanovanje,Novo Mesto
350,John Smith,6935655,zemljisce,Ptuj
351,John Smith,2004129,hisa,Novo Mesto
352,John Smith,644383,hisa,Maribor
353,Emily Johnson,3489713,hisa,Velenje
354,Daniel Brown,944993,stanovanje,Kranj
355,Emily Johnson,8981627,zemljisce,Koper
356,Emily Johnson,920049,hisa,Ptuj
357,John Smith,8564527,zemljisce,Novo Mesto
358,Michael Davis,2531309,hisa,Trbovlje
359,Michael Davis,6979421,zemljisce,Trbovlje
360,Daniel Brown,9389633,hisa,Ljubljana
361,Emily Johnson,4963088,stanovanje,Maribor
362,John Smith,5586666,zemljisce,Velenje
363,Daniel Brown,8288690,stanovanje,Ljubljana
364,Emily Johnson,1794038,hisa,Celje
365,Daniel Brown,5006226,hisa,Kamnik
366,Emma Wilson,5809168,stanovanje,Ptuj
367,Daniel Brown,6738951,hisa,Trbovlje
368,Emily Johnson,4408325,stanovanje,Trbovlje
369,Daniel Brown,366125,zemljisce,Maribor
370,Emma Wilson,9832091,stanovanje,Ljubljana
371,Daniel Brown,6979241,stanovanje,Velenje
372,Emma Wilson,4287342,stanovanje,Velenje
373,Emily Johnson,8382946,hisa,Kranj
374,Michael Davis,1487717,hisa,Ptuj
375,Daniel Brown,4020542,zemljisce,Kranj
376,Emma Wilson,9101736,hisa,Celje
377,Emma Wilson,3405264,hisa,Kamnik
378,Emily Johnson,7734194,hisa,Trbovlje
379,Emma Wilson,7801968,zemljisce,Trbovlje
380,Emily Johnson,8377054,zemljisce,Kranj
381,Emma Wilson,2698861,zemljisce,Kranj
382,Michael Davis,2978879,stanovanje,Velenje
383,Daniel Brown,8844297,zemljisce,Koper
384,John Smith,1797086,zemljisce,Velenje
385,John Smith,9145708,stanovanje,Ljubljana
386,John Smith,1793806,hisa,Koper
387,Michael Davis,8603557,stanovanje,Ptuj
388,John Smith,3435347,hisa,Ljubljana
389,Daniel Brown,887520,zemljisce,Novo Mesto
390,Daniel Brown,906488,zemljisce,Velenje
391,Emma Wilson,4584880,hisa,Celje
392,Emma Wilson,1847039,hisa,Maribor
393,Michael Davis,8348523,zemljisce,Kranj
394,Michael Davis,701615,stanovanje,Novo Mesto
395,John Smith,2066198,hisa,Ljubljana
396,Michael Davis,878522,hisa,Ljubljana
397,Daniel Brown,6531004,stanovanje,Celje
398,Daniel Brown,248558,stanovanje,Maribor
399,Michael Davis,1965744,stanovanje,Maribor
400,Emily Johnson,5817956,hisa,Novo Mesto
401,Emma Wilson,4313832,hisa,Velenje
402,Michael Davis,300212,zemljisce,Ptuj
403,Emily Johnson,6303263,stanovanje,Celje
404,Michael Davis,509668,zemljisce,Novo Mesto
405,Emma Wilson,270937,hisa,Velenje
406,Emily Johnson,4366576,hisa,Ljubljana
407,Daniel Brown,9605597,zemljisce,Trbovlje
408,Daniel Brown,5422042,hisa,Koper
409,Emily Johnson,93387,stanovanje,Celje
410,Michael Davis,7693047,stanovanje,Kamnik
411,Emily Johnson,1601149,hisa,Kamnik
412,Daniel Brown,2712585,zemljisce,Kranj
413,John Smith,7074223,hisa,Maribor
414,Emily Johnson,4210983,stanovanje,Trbovlje
415,Emma Wilson,2497147,zemljisce,Novo Mesto
416,Emma Wilson,6758149,stanovanje,Ptuj
417,Michael Davis,2824671,zemljisce,Kranj
418,Daniel Brown,7935813,zemljisce,Kamnik
419,Daniel Brown,2946532,hisa,Kranj
420,Emily Johnson,9279167,stanovanje,Ptuj
421,Daniel Brown,8571705,zemljisce,Ptuj
422,John Smith,4822654,stanovanje,Velenje
423,Emma Wilson,2602700,zemljisce,Ljubljana
424,Michael Davis,2653493,stanovanje,Maribor
425,Michael Davis,3948217,zemljisce,Ljubljana
426,Michael Davis,7000182,zemljisce,Koper
427,John Smith,8335765,zemljisce,Velenje
428,Michael Davis,4988033,stanovanje,Kranj
429,Emma Wilson,6777042,stanovanje,Velenje
430,Daniel Brown,2414334,stanovanje,Velenje
431,Emily Johnson,2926838,hisa,Ptuj
432,Emma Wilson,5983663,hisa,Celje
433,Daniel Brown,5643392,zemljisce,Trbovlje
434,John Smith,5925347,zemljisce,Maribor
435,Daniel Brown,2587170,zemljisce,Ptuj
436,Emma Wilson,9952312,zemljisce,Kamnik
437,Emma Wilson,2134196,stanovanje,Ljubljana
438,John Smith,531300,stanovanje,Koper
439,Emma Wilson,2974670,zemljisce,Novo Mesto
440,Michael Davis,1014909,stanovanje,Ljubljana
441,Michael Davis,908590,hisa,Kranj
442,Michael Davis,633573,stanovanje,Kranj
443,Emily Johnson,5541254,zemljisce,Ljubljana
444,Emily Johnson,7420496,hisa,Ptuj
445,Michael Davis,3624948,zemljisce,Maribor
446,Emily Johnson,5705294,zemljisce,Koper
447,Emma Wilson,2575012,hisa,Celje
448,Emily Johnson,4253019,hisa,Maribor
449,John Smith,4842714,stanovanje,Ljubljana
450,Emily Johnson,7701032,stanovanje,Velenje
451,Emma Wilson,8455403,zemljisce,Trbovlje
452,Emily Johnson,6518177,hisa,Kranj
453,Michael Davis,7072609,zemljisce,Ljubljana
454,Emma Wilson,7710702,hisa,Novo Mesto
455,Emily Johnson,8404977,zemljisce,Ljubljana
456,Emma Wilson,3454409,stanovanje,Ljubljana
457,John Smith,6815225,zemljisce,Novo Mesto
458,John Smith,8937868,zemljisce,Koper
459,Daniel Brown,5007783,hisa,Maribor
460,Michael Davis,6919825,stanovanje,Celje
461,Emma Wilson,3071698,stanovanje,Trbovlje
462,Michael Davis,995992,stanovanje,Kamnik
463,Michael Davis,7211815,stanovanje,Celje
464,Daniel Brown,1849233,stanovanje,Ptuj
465,John Smith,9864201,hisa,Celje
466,John Smith,9938305,hisa,Trbovlje
467,Michael Davis,3609589,stanovanje,Celje
468,Emma Wilson,2436387,zemljisce,Novo Mesto
469,Michael Davis,4438739,stanovanje,Ptuj
470,Michael Davis,9277503,zemljisce,Ptuj
471,Michael Davis,9056479,hisa,Ljubljana
472,Emily Johnson,4642562,hisa,Ptuj
473,Michael Davis,1903321,stanovanje,Celje
474,John Smith,4256367,hisa,Novo Mesto
475,John Smith,7949535,hisa,Kranj
476,John Smith,7303386,stanovanje,Novo Mesto
477,John Smith,2378379,hisa,Ljubljana
478,Michael Davis,3414396,hisa,Maribor
479,Emma Wilson,799728,stanovanje,Ptuj
480,Daniel Brown,1843845,zemljisce,Novo Mesto
481,Daniel Brown,2178898,zemljisce,Celje
482,Emma Wilson,9753182,zemljisce,Ptuj
483,Emily Johnson,6797745,hisa,Kamnik
484,John Smith,2020823,stanovanje,Ptuj
485,John Smith,4437746,zemljisce,Kamnik
486,Emma Wilson,7666489,stanovanje,Ljubljana
487,Daniel Brown,4588715,hisa,Ptuj
488,Emma Wilson,9999704,stanovanje,Koper
489,Michael Davis,2824733,stanovanje,Velenje
490,Daniel Brown,7588997,stanovanje,Ljubljana
491,Emma Wilson,1497455,zemljisce,Maribor
492,Michael Davis,354627,stanovanje,Velenje
493,Emma Wilson,1342606,zemljisce,Koper
494,John Smith,7963994,stanovanje,Ljubljana
495,Daniel Brown,4682616,zemljisce,Ptuj
496,John Smith,3415588,stanovanje,Maribor
497,John Smith,7990744,zemljisce,Kranj
498,Emily Johnson,2245759,hisa,Ptuj
499,Emily Johnson,1339184,hisa,Kamnik
500,Michael Davis,9196461,zemljisce,Ljubljana
501,Michael Davis,3576407,stanovanje,Ptuj
502,Daniel Brown,9962009,hisa,Trbovlje
503,Emily Johnson,603517,hisa,Kamnik
504,John Smith,4265168,stanovanje,Maribor
505,Michael Davis,9357360,stanovanje,Ptuj
506,Michael Davis,2200841,hisa,Kranj
507,Emily Johnson,1433887,zemljisce,Novo Mesto
508,Emma Wilson,8895319,zemljisce,Ljubljana
509,Emily Johnson,1487237,zemljisce,Ptuj
510,John Smith,3660702,stanovanje,Trbovlje
511,Emma Wilson,1027448,hisa,Ljubljana
512,Emma Wilson,6955289,stanovanje,Koper
513,Emma Wilson,556356,hisa,Ptuj
514,Emma Wilson,847893,stanovanje,Ptuj
515,John Smith,2784344,stanovanje,Kamnik
516,Emily Johnson,1189858,zemljisce,Maribor
517,Emily Johnson,657007,stanovanje,Velenje
518,Michael Davis,2441421,hisa,Ljubljana
519,John Smith,6725168,hisa,Velenje
520,Emma Wilson,3869612,stanovanje,Velenje
521,Michael Davis,6926800,stanovanje,Celje
522,Emma Wilson,2242323,hisa,Velenje
523,John Smith,7552827,zemljisce,Celje
524,Daniel Brown,565313,hisa,Ljubljana
525,Emily Johnson,784801,zemljisce,Celje
526,Daniel Brown,9128253,zemljisce,Ljubljana
527,John Smith,4695706,hisa,Koper
528,Emily Johnson,695776,hisa,Trbovlje
529,Michael Davis,4656842,zemljisce,Ptuj
530,John Smith,6385217,hisa,Kamnik
531,Emma Wilson,1043509,hisa,Kamnik
532,Daniel Brown,9979817,stanovanje,Novo Mesto
533,Emma Wilson,7352437,stanovanje,Kamnik
534,John Smith,4438824,zemljisce,Koper
535,Daniel Brown,6146344,zemljisce,Novo Mesto
536,John Smith,7499514,stanovanje,Trbovlje
537,Michael Davis,1988033,stanovanje,Celje
538,Michael Davis,3635913,stanovanje,Novo Mesto
539,Michael Davis,1115730,hisa,Maribor
540,Emma Wilson,5079728,hisa,Celje
541,Emily Johnson,656182,stanovanje,Maribor
542,Daniel Brown,6153521,hisa,Velenje
543,John Smith,2032554,stanovanje,Novo Mesto
544,Emily Johnson,3008301,hisa,Kranj
545,Daniel Brown,669271,zemljisce,Koper
546,Emily Johnson,8637019,stanovanje,Velenje
547,Emily Johnson,8268485,zemljisce,Velenje
548,John Smith,904818,zemljisce,Koper
549,Daniel Brown,1464684,stanovanje,Velenje
550,Michael Davis,9906845,hisa,Ptuj
551,John Smith,4280322,hisa,Kamnik
552,Emma Wilson,2575181,hisa,Koper
553,Daniel Brown,5182569,hisa,Kranj
554,Daniel Brown,6415069,stanovanje,Trbovlje
555,Michael Davis,7119672,hisa,Koper
556,Michael Davis,7805890,hisa,Trbovlje
557,Emma Wilson,9458233,hisa,Celje
558,Emily Johnson,2695842,stanovanje,Koper
559,John Smith,6479041,zemljisce,Velenje
560,Emma Wilson,6855838,stanovanje,Koper
561,John Smith,4682836,zemljisce,Celje
562,Emily Johnson,2435314,zemljisce,Maribor
563,John Smith,4401881,hisa,Ljubljana
564,Daniel Brown,3262343,zemljisce,Ptuj
565,Emma Wilson,7695463,hisa,Koper
566,Daniel Brown,3452716,zemljisce,Koper
567,John Smith,7602347,hisa,Trbovlje
568,Emily Johnson,477520,stanovanje,Celje
569,Michael Davis,8409341,hisa,Kranj
570,Emily Johnson,9706733,hisa,Kranj
571,Daniel Brown,1525663,zemljisce,Velenje
572,Emma Wilson,2536008,hisa,Ljubljana
573,John Smith,1324491,stanovanje,Novo Mesto
574,Emma Wilson,292337,zemljisce,Velenje
575,Emma Wilson,175478,hisa,Maribor
576,Emma Wilson,4527891,zemljisce,Celje
577,Michael Davis,760909,zemljisce,Trbovlje
578,Emily Johnson,5312140,zemljisce,Novo Mesto
579,Michael Davis,7142313,stanovanje,Ptuj
580,John Smith,5229796,hisa,Maribor
581,John Smith,3899196,zemljisce,Novo Mesto
582,Emma Wilson,5652665,hisa,Maribor
