id,name,kontakt,buget,lokacija,vrsta
33,Michael Davis,fwaddupw@etsy.com,7641036,Ptuj,land
34,Emily Johnson,rbrahmx@yahoo.com,4225823,Ljubljana,house
35,Sarah Anderson,agisbourny@opera.com,5322056,Kranj,house
36,Michael Davis,dphoebez@amazonaws.com,5994773,Maribor,house
37,David Wilson,dpieterick10@privacy.gov.au,3352424,Celje,land
38,Michael Davis,adoreward11@webs.com,9642129,Kamnik,apartment
39,David Wilson,snewhouse12@statcounter.com,6173233,Novo Mesto,house
40,David Wilson,jstainton13@nih.gov,3295508,Ptuj,house
41,John Smith,adesquesnes14@cbslocal.com,9650632,Trbovlje,apartment
42,Sarah Anderson,acockley15@uiuc.edu,240480,Velenje,land
43,Emily Johnson,ytritton16@psu.edu,9422283,Celje,house
44,Emily Johnson,nladell17@statcounter.com,6397123,Velenje,house
45,Sarah Anderson,aannes18@jimdo.com,2321709,Koper,apartment
46,David Wilson,vrottery19@smh.com.au,4331802,Koper,apartment
47,Michael Davis,dbavidge1a@woothemes.com,6202186,Celje,apartment
48,Michael Davis,cprigg1b@google.fr,7932780,Velenje,land
49,Michael Davis,acoppo1c@com.com,8441463,Celje,apartment
50,John Smith,hovey1d@wikipedia.org,494450,Trbovlje,land
51,John Smith,jbancroft1e@blogger.com,5200085,Ljubljana,apartment
52,Emily Johnson,hscamadine1f@nsw.gov.au,5399475,Trbovlje,apartment
53,Sarah Anderson,fingleston1g@mozilla.org,3848893,Novo Mesto,land
54,John Smith,ssture1h@tiny.cc,8918565,Maribor,apartment
55,Emily Johnson,hgoade1i@ihg.com,6089151,Velenje,apartment
56,Sarah Anderson,sropartz1j@narod.ru,2306544,Trbovlje,land
57,John Smith,dsynnott1k@51.la,492397,Trbovlje,house
58,Emily Johnson,rocannavan1l@mozilla.com,520553,Trbovlje,apartment
59,Michael Davis,kschermick1m@mozilla.com,6840379,Velenje,land
60,John Smith,ahards1n@trellian.com,3758352,Celje,apartment
61,Sarah Anderson,tcowpland1o@redcross.org,1046102,Ptuj,land
62,Michael Davis,mcadagan1p@sciencedaily.com,6192789,Kamnik,house
63,Michael Davis,sscrancher1q@about.me,4778057,Celje,apartment
64,Emily Johnson,rshooter1r@mediafire.com,937960,Ptuj,house
65,Emily Johnson,cowtram1s@buzzfeed.com,9242121,Velenje,land
66,Sarah Anderson,jbaldoni1t@nytimes.com,190966,Kamnik,house
67,David Wilson,ksisland1u@usatoday.com,9640932,Ptuj,land
68,David Wilson,emalbon1v@biglobe.ne.jp,6218353,Ljubljana,house
69,Sarah Anderson,sspeeding1w@go.com,5785742,Ptuj,house
70,Sarah Anderson,jhakes1x@odnoklassniki.ru,102108,Velenje,land
71,David Wilson,bdekeyser1y@apache.org,8993582,Maribor,apartment
72,David Wilson,bpallant1z@discuz.net,9343359,Velenje,house
73,John Smith,fhaggett20@homestead.com,5942767,Maribor,land
74,Emily Johnson,dcockarill21@tinyurl.com,9481776,Ljubljana,apartment
75,Sarah Anderson,mlockhart22@blog.com,5766985,Novo Mesto,house
76,Michael Davis,amaior23@so-net.ne.jp,5492768,Kranj,house
77,Emily Johnson,jandino24@buzzfeed.com,3531090,Ptuj,apartment
78,Michael Davis,emartensen25@mozilla.com,4039113,Velenje,apartment
79,David Wilson,cfowkes26@intel.com,3361628,Maribor,land
80,Emily Johnson,sdanielski27@mac.com,6966670,Kamnik,apartment
81,Emily Johnson,mpollett28@go.com,3879645,Koper,house
82,David Wilson,ebalaam29@netvibes.com,4243635,Celje,house
83,Michael Davis,achalloner2a@fotki.com,6500945,Kamnik,apartment
84,John Smith,hcoule2b@ebay.co.uk,9827586,Trbovlje,apartment
85,Emily Johnson,ssyder2c@wisc.edu,4525146,Kranj,apartment
86,David Wilson,dmoulding2d@discovery.com,4289950,Kranj,land
87,Emily Johnson,cdigby2e@imgur.com,1540400,Koper,land
88,John Smith,rolivella2f@hc360.com,6400667,Maribor,apartment
89,Emily Johnson,dhamsson2g@google.it,8334246,Trbovlje,land
90,Emily Johnson,vdonnan2h@adobe.com,4852779,Maribor,house
91,David Wilson,gstuer2i@yale.edu,8418237,Koper,land
92,Michael Davis,mmignot2j@privacy.gov.au,6990497,Ptuj,house
93,Michael Davis,ohearst2k@yellowpages.com,4162836,Novo Mesto,house
94,Michael Davis,kpealing2l@bloglovin.com,300081,Velenje,apartment
95,Sarah Anderson,mgerardeaux2m@about.me,6932148,Trbovlje,land
96,John Smith,eloade2n@comcast.net,8764274,Celje,house
97,David Wilson,sfealy2o@usnews.com,4775773,Trbovlje,house
98,Emily Johnson,lmoreing2p@ocn.ne.jp,3591511,Koper,land
99,David Wilson,dghelardoni2q@patch.com,5828107,Ljubljana,apartment
100,Emily Johnson,wcordeau2r@wix.com,8828601,Ljubljana,house
101,Emily Johnson,mlembcke2s@nhs.uk,5908098,Kamnik,apartment
102,Sarah Anderson,mskunes2t@twitpic.com,5664380,Ptuj,land
103,Emily Johnson,mbaxstair2u@baidu.com,5858404,Velenje,house
104,Sarah Anderson,ncanty2v@opera.com,4660857,Ljubljana,house
105,Michael Davis,mbredes2w@ow.ly,486299,Trbovlje,apartment
106,Sarah Anderson,ccaldeiro2x@mashable.com,7042188,Koper,apartment
107,John Smith,mastin2y@flickr.com,3991624,Ptuj,house
108,Sarah Anderson,hgawthrop2z@apple.com,8959774,Ljubljana,apartment
109,Emily Johnson,hfellibrand30@springer.com,7341864,Ljubljana,house
110,Emily Johnson,leagan31@xrea.com,4571778,Velenje,land
111,John Smith,kcarmody32@japanpost.jp,8842094,Kamnik,house
112,John Smith,mvasentsov33@nih.gov,3536959,Celje,apartment
113,John Smith,ysheryne34@reference.com,5762472,Celje,house
114,Michael Davis,ccuthbertson35@hatena.ne.jp,7252752,Novo Mesto,land
115,Emily Johnson,adermott36@senate.gov,225230,Koper,house
116,Emily Johnson,ebischof37@gov.uk,9701932,Ptuj,land
117,Emily Johnson,jsalliere38@va.gov,5509463,Kranj,apartment
118,David Wilson,mkibbye39@shop-pro.jp,1449960,Kamnik,land
119,Michael Davis,mbradnam3a@macromedia.com,1792935,Kranj,house
120,Sarah Anderson,sgouldie3b@hostgator.com,2028519,Kranj,land
121,Emily Johnson,kminico3c@dagondesign.com,604790,Velenje,apartment
122,Michael Davis,lmyrtle3d@cloudflare.com,8401026,Novo Mesto,apartment
123,Emily Johnson,mhabberjam3e@uol.com.br,2667967,Maribor,house
124,Michael Davis,adripp3f@sbwire.com,7795549,Kranj,house
125,John Smith,wflescher3g@gov.uk,6085173,Trbovlje,land
126,Sarah Anderson,mkeynd3h@51.la,4255454,Trbovlje,house
127,John Smith,adiscombe3i@parallels.com,7420105,Koper,house
128,Emily Johnson,hmoorrud3j@blogspot.com,9218653,Maribor,house
129,Sarah Anderson,lfehner3k@google.it,1170085,Novo Mesto,apartment
130,John Smith,gsamsin3l@ibm.com,8013297,Kamnik,apartment
131,Emily Johnson,ollop3m@dion.ne.jp,8038539,Kranj,house
132,David Wilson,nshead3n@slideshare.net,1653726,Kamnik,apartment
133,John Smith,ggodfree3o@networksolutions.com,7472329,Trbovlje,apartment
134,Michael Davis,aducroe3p@rakuten.co.jp,8066388,Trbovlje,apartment
135,Sarah Anderson,bfollit3q@tumblr.com,5963155,Ljubljana,land
136,Michael Davis,mjereatt3r@artisteer.com,8266316,Ptuj,land
137,Emily Johnson,levetts3s@globo.com,7970994,Koper,house
138,David Wilson,amulvany3t@ycombinator.com,4347668,Trbovlje,land
139,Michael Davis,rsides3u@cyberchimps.com,8124167,Novo Mesto,apartment
140,Emily Johnson,nstrut3v@elpais.com,2757147,Velenje,land
141,Michael Davis,cnaton3w@histats.com,5478319,Koper,land
142,Michael Davis,klehrahan3x@hao123.com,6971676,Ptuj,land
143,Michael Davis,mstalley3y@businessweek.com,6460961,Trbovlje,apartment
144,David Wilson,pmoxley3z@senate.gov,363109,Ljubljana,apartment
145,Sarah Anderson,reagle40@google.de,1906066,Trbovlje,house
146,David Wilson,rhaysar41@nyu.edu,8550770,Novo Mesto,apartment
147,Emily Johnson,mmcgahy42@msn.com,358524,Novo Mesto,land
148,Emily Johnson,pjaukovic43@comcast.net,2738297,Ptuj,apartment
149,Emily Johnson,ehabard44@privacy.gov.au,2812316,Novo Mesto,land
150,David Wilson,trountree45@accuweather.com,9858862,Kranj,land
151,Sarah Anderson,bsholl46@sina.com.cn,7553407,Trbovlje,apartment
152,Sarah Anderson,cudy47@smh.com.au,3350498,Kamnik,land
153,John Smith,caustin48@creativecommons.org,4464686,Velenje,house
154,David Wilson,zcoumbe49@edublogs.org,7899496,Kranj,land
155,David Wilson,sparrish4a@woothemes.com,8729170,Ljubljana,apartment
156,John Smith,plinger4b@thetimes.co.uk,3113763,Trbovlje,land
157,Emily Johnson,rmcentee4c@blogs.com,808098,Maribor,apartment
158,David Wilson,ytarrant4d@webeden.co.uk,536143,Ljubljana,house
159,David Wilson,atomlinson4e@google.nl,5654301,Kranj,land
160,John Smith,dfeek4f@redcross.org,558210,Ljubljana,land
161,Emily Johnson,jborton4g@imgur.com,1091501,Maribor,house
162,David Wilson,mstanding4h@gov.uk,5417133,Koper,land
163,Sarah Anderson,tcopeland4i@odnoklassniki.ru,3362637,Koper,land
164,John Smith,rmoralas4j@myspace.com,1445981,Trbovlje,land
165,Michael Davis,ivittore4k@shop-pro.jp,4087965,Ljubljana,house
166,David Wilson,bdavydoch4l@amazon.de,7038931,Celje,land
167,John Smith,athomsson4m@soundcloud.com,5647064,Ptuj,apartment
168,Michael Davis,rpauletti4n@jalbum.net,5700097,Velenje,house
169,Sarah Anderson,ddarlasson4o@php.net,7820483,Trbovlje,apartment
170,John Smith,ihovey4p@reverbnation.com,2738228,Velenje,house
171,Emily Johnson,sbenito4q@bloomberg.com,2801672,Novo Mesto,apartment
172,Michael Davis,gdrabble4r@arizona.edu,4113502,Maribor,apartment
173,Emily Johnson,mkeary4s@dagondesign.com,5733190,Velenje,house
174,Michael Davis,mpopplestone4t@eventbrite.com,3417874,Ptuj,house
175,John Smith,binskipp4u@mysql.com,8728663,Novo Mesto,house
176,Michael Davis,vwoolerton4v@cloudflare.com,5992881,Maribor,land
177,Sarah Anderson,ascreaton4w@angelfire.com,6305379,Ptuj,land
178,David Wilson,jshortan4x@ask.com,5208862,Ljubljana,apartment
179,Michael Davis,gkristoffersson4y@surveymonkey.com,5439391,Trbovlje,house
180,Michael Davis,hmcgilben4z@ucoz.com,7901887,Ljubljana,apartment
181,Emily Johnson,ratherton50@comcast.net,6267971,Koper,house
182,John Smith,fcrutchfield51@qq.com,7055325,Kranj,apartment
183,Michael Davis,rbennallck52@sourceforge.net,6143846,Koper,land
184,Michael Davis,srubinfajn53@devhub.com,3666652,Koper,apartment
185,David Wilson,bkoomar54@dailymail.co.uk,9467715,Trbovlje,land
186,Sarah Anderson,agrunguer55@theglobeandmail.com,6390597,Velenje,apartment
187,Emily Johnson,mspeeding56@scientificamerican.com,4802572,Ptuj,land
188,Emily Johnson,mdunning57@pagesperso-orange.fr,3212896,Celje,apartment
189,John Smith,ngrabbam58@opera.com,270152,Celje,apartment
190,John Smith,jbrixey59@accuweather.com,4819301,Ptuj,land
191,Michael Davis,amccallum5a@so-net.ne.jp,6267596,Maribor,house
192,Michael Davis,edragoe5b@com.com,3941178,Trbovlje,house
193,David Wilson,mfurlonge5c@nymag.com,2247288,Ptuj,house
194,Emily Johnson,dcoche5d@forbes.com,3211429,Ptuj,house
195,John Smith,lsaw5e@hao123.com,5531492,Trbovlje,apartment
196,John Smith,iyoungman5f@ocn.ne.jp,9763346,Velenje,apartment
197,Michael Davis,afearnside5g@g.co,8375532,Novo Mesto,house
198,Emily Johnson,msimnel5h@epa.gov,1728673,Ljubljana,apartment
199,David Wilson,ecurl5i@topsy.com,4324119,Celje,land
200,John Smith,mfitzharris5j@yandex.ru,5545085,Novo Mesto,land
201,John Smith,fclewes5k@soundcloud.com,2954762,Trbovlje,apartment
202,Michael Davis,ppierton5l@furl.net,9611504,Maribor,land
203,Emily Johnson,cannandale5m@dropbox.com,7463726,Ptuj,apartment
204,David Wilson,clissemore5n@msu.edu,8062090,Kamnik,house
205,Emily Johnson,seastes5o@loc.gov,1986596,Novo Mesto,apartment
206,David Wilson,wtrevena5p@sfgate.com,1571683,Kranj,land
207,Emily Johnson,mfairburn5q@bloglines.com,7436588,Ptuj,house
208,Emily Johnson,ncrissil5r@hugedomains.com,1321049,Velenje,house
209,Emily Johnson,gfurse5s@microsoft.com,6800772,Ljubljana,land
210,Emily Johnson,lflello5t@chronoengine.com,3336361,Ljubljana,apartment
211,John Smith,dhobell5u@bigcartel.com,6081027,Ptuj,land
212,John Smith,dboylan5v@twitpic.com,2408953,Maribor,land
213,John Smith,cdelwater5w@jigsy.com,2230699,Maribor,land
214,John Smith,zcurado5x@youtu.be,8272837,Novo Mesto,house
215,Sarah Anderson,aranvoise5y@hc360.com,3970092,Ptuj,house
216,Sarah Anderson,ppulham5z@webnode.com,7267967,Maribor,land
217,Michael Davis,gprebble60@gravatar.com,723043,Velenje,land
218,Michael Davis,gmussettini61@feedburner.com,8929674,Kamnik,land
219,Sarah Anderson,slonghorn62@amazon.co.jp,679973,Kamnik,land
220,David Wilson,amactimpany63@blinklist.com,5430175,Velenje,apartment
221,John Smith,wmiguel64@utexas.edu,4849580,Novo Mesto,land
222,John Smith,bwaind65@guardian.co.uk,9335337,Novo Mesto,house
223,Michael Davis,lparish66@cbslocal.com,9924489,Celje,apartment
224,John Smith,idibdin67@hostgator.com,4964348,Novo Mesto,apartment
225,David Wilson,fhumphery68@cisco.com,9365499,Novo Mesto,land
226,Michael Davis,cseath69@boston.com,2282632,Trbovlje,house
227,John Smith,edregan6a@pagesperso-orange.fr,5402414,Celje,house
228,David Wilson,bstoeck6b@smh.com.au,7639018,Trbovlje,land
229,David Wilson,lwarham6c@github.com,9885785,Kamnik,apartment
230,Michael Davis,lbransby6d@cdbaby.com,4157183,Celje,land
231,David Wilson,cmoulder6e@blogs.com,2188036,Koper,land
232,Emily Johnson,scoley6f@yahoo.com,805138,Koper,land
233,Sarah Anderson,anisby6g@qq.com,6061182,Celje,house
234,Sarah Anderson,nbockman6h@accuweather.com,5935992,Ptuj,land
235,Sarah Anderson,bmassey6i@oakley.com,9325031,Ljubljana,land
236,Michael Davis,cdegan6j@indiatimes.com,2342337,Velenje,apartment
237,Emily Johnson,gmorgan6k@slideshare.net,627409,Novo Mesto,house
238,Sarah Anderson,rhubane6l@comsenz.com,3890171,Maribor,house
239,Michael Davis,bwindous6m@nps.gov,7566129,Koper,land
240,David Wilson,cdikels6n@zimbio.com,750702,Ljubljana,house
241,Sarah Anderson,awiggin6o@bbc.co.uk,4675411,Ptuj,house
242,John Smith,mjurisic6p@youtube.com,4690519,Novo Mesto,land
243,John Smith,bjedrzejczyk6q@china.com.cn,7271619,Koper,land
244,David Wilson,crarity6r@bbc.co.uk,7080020,Novo Mesto,apartment
245,David Wilson,hdegregario6s@cdbaby.com,7919911,Ptuj,apartment
246,Emily Johnson,dmaccahee6t@addtoany.com,9670301,Kranj,apartment
247,John Smith,arubinsohn6u@nps.gov,4711991,Kranj,land
248,Sarah Anderson,nmorby6v@sciencedirect.com,6978482,Ptuj,land
249,Sarah Anderson,jramard6w@hhs.gov,5054908,Ptuj,apartment
250,Emily Johnson,succello6x@businessweek.com,1770213,Kranj,apartment
